shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
280018,-27.495970,153.038361,30003
280018,-27.495350,153.037925,30004
280018,-27.495464,153.037816,30005
280018,-27.495598,153.037666,30006
280018,-27.496579,153.036904,30007
280018,-27.496746,153.036641,30008
280018,-27.496832,153.036392,30009
280018,-27.496824,153.036141,30010
280018,-27.496738,153.035579,30011
280018,-27.496724,153.035337,30012
280018,-27.496727,153.035244,30013
280018,-27.496732,153.035191,30014
280018,-27.496764,153.035023,30015
280018,-27.496802,153.034838,30016
280018,-27.496831,153.034649,30017
280018,-27.496847,153.034507,30018
280018,-27.496830,153.034317,30019
280018,-27.496731,153.033615,30020
280018,-27.496731,153.033615,40001
280018,-27.496724,153.033561,40002
280018,-27.496559,153.032415,40003
280018,-27.496531,153.032266,40004
280018,-27.496494,153.032126,40005
280018,-27.496427,153.031912,40006
280018,-27.496402,153.031850,40007
280018,-27.496297,153.031631,40008
280018,-27.496115,153.031482,40009
280018,-27.496028,153.031432,40010
280018,-27.495864,153.031356,40011
280018,-27.495738,153.031304,40012
280018,-27.495409,153.031258,40013
280018,-27.495035,153.031241,40014
280018,-27.494780,153.031173,40015
280018,-27.494594,153.031095,40016
280018,-27.494461,153.031010,40017
280018,-27.494330,153.030898,40018
280018,-27.494234,153.030776,40019
280018,-27.494153,153.030654,40020
280018,-27.493876,153.030240,40021
280018,-27.493876,153.030240,50001
280018,-27.493782,153.030099,50002
280018,-27.493676,153.029939,50003
280018,-27.493627,153.029783,50004
280018,-27.493616,153.029586,50005
280018,-27.493635,153.029482,50006
280018,-27.493647,153.029411,50007
280018,-27.493711,153.029286,50008
280018,-27.493809,153.029205,50009
280018,-27.494167,153.029135,50010
280018,-27.494613,153.028952,50011
280018,-27.494915,153.028790,50012
280018,-27.495481,153.028416,50013
280018,-27.495978,153.028015,50014
280018,-27.496588,153.027414,50015
280018,-27.497203,153.026536,50016
280018,-27.497908,153.025295,50017
280018,-27.497955,153.025190,50018
280018,-27.498019,153.024981,50019
280018,-27.498042,153.024843,50020
280018,-27.498047,153.024799,50021
280018,-27.498050,153.024689,50022
280018,-27.498042,153.024542,50023
280018,-27.498034,153.024498,50024
280018,-27.498034,153.024498,60001
280018,-27.498010,153.024366,60002
280018,-27.497989,153.024279,60003
280018,-27.497927,153.023891,60004
280018,-27.497910,153.023638,60005
280018,-27.497668,153.019162,60006
280018,-27.497667,153.018998,60007
280018,-27.497686,153.018839,60008
280018,-27.497728,153.018678,60009
280018,-27.497769,153.018557,60010
280018,-27.497823,153.018445,60011
280018,-27.497863,153.018377,60012
280018,-27.497906,153.018311,60013
280018,-27.497948,153.018261,60014
280018,-27.497975,153.018226,60015
280018,-27.497978,153.018179,60016
280018,-27.497963,153.017952,60017
280018,-27.497963,153.017952,70001
280018,-27.497963,153.017952,70002
280018,-27.497963,153.017952,80001
280018,-27.497943,153.017656,80002
280018,-27.497933,153.017572,80003
280018,-27.497915,153.017537,80004
280018,-27.497880,153.017528,80005
280018,-27.497833,153.017535,80006
280018,-27.497789,153.017561,80007
280018,-27.497761,153.017592,80008
280018,-27.497729,153.017660,80009
280018,-27.497732,153.017768,80010
280018,-27.497767,153.018298,80011
280018,-27.497787,153.018398,80012
280018,-27.497787,153.018459,80013
280018,-27.497769,153.018557,80014
280018,-27.497728,153.018678,80015
280018,-27.497686,153.018839,80016
280018,-27.497667,153.018998,80017
280018,-27.497668,153.019162,80018
280018,-27.497910,153.023638,80019
280018,-27.497927,153.023891,80020
280018,-27.497989,153.024279,80021
